order_id,order_date,region,product,category,units,unit_price,revenue,cost,profit
1001,2025-01-05,North,Atlas Desk,Furniture,3,240,720,510,210
1002,2025-01-12,West,Lumen Lamp,Decor,8,45,360,216,144
1003,2025-01-20,South,Ergo Chair,Furniture,5,180,900,650,250
1004,2025-02-02,East,Paper Ream,Office,20,12,240,160,80
1005,2025-02-09,North,Ergo Chair,Furniture,4,180,720,520,200
1006,2025-02-21,West,Canvas Bin,Storage,10,35,350,210,140
1007,2025-03-03,South,Atlas Desk,Furniture,2,240,480,340,140
1008,2025-03-10,East,Lumen Lamp,Decor,7,45,315,189,126
1009,2025-03-28,North,Monitor Arm,Office,6,90,540,360,180
1010,2025-04-06,West,Ergo Chair,Furniture,6,180,1080,780,300
1011,2025-04-17,South,Paper Ream,Office,18,12,216,144,72
1012,2025-04-27,East,Atlas Desk,Furniture,4,240,960,680,280
1013,2025-05-08,North,Canvas Bin,Storage,12,35,420,252,168
1014,2025-05-18,West,Monitor Arm,Office,5,90,450,300,150
1015,2025-05-30,South,Lumen Lamp,Decor,11,45,495,297,198
1016,2025-06-11,East,Ergo Chair,Furniture,3,180,540,390,150
1017,2025-06-19,North,Paper Ream,Office,25,12,300,200,100
1018,2025-06-25,West,Atlas Desk,Furniture,5,240,1200,850,350
1019,2025-07-07,South,Monitor Arm,Office,7,90,630,420,210
1020,2025-07-15,East,Canvas Bin,Storage,14,35,490,294,196
1021,2025-08-04,North,Ergo Chair,Furniture,7,180,1260,910,350
1022,2025-08-13,West,Paper Ream,Office,30,12,360,240,120
1023,2025-08-24,South,Atlas Desk,Furniture,3,240,720,510,210
1024,2025-09-02,East,Lumen Lamp,Decor,9,45,405,243,162
1025,2025-09-16,North,Monitor Arm,Office,8,90,720,480,240
1026,2025-10-01,West,Canvas Bin,Storage,16,35,560,336,224
1027,2025-10-12,South,Ergo Chair,Furniture,4,180,720,520,200
1028,2025-10-24,East,Atlas Desk,Furniture,6,240,1440,1020,420
1029,2025-11-06,North,Lumen Lamp,Decor,13,45,585,351,234
1030,2025-11-17,West,Monitor Arm,Office,10,90,900,600,300
1031,2025-12-05,South,Canvas Bin,Storage,15,35,525,315,210
1032,2025-12-18,East,Ergo Chair,Furniture,8,180,1440,1040,400
